order_id,customer_id,amount,order_date
1,1,3762,2022-11-26
2,2,4928,2022-04-24
3,2,2919,2022-09-05
4,2,2380,2024-03-19
5,2,1196,2023-02-13
6,2,4307,2022-05-23
7,2,912,2022-11-03
8,2,4280,2024-04-07
9,2,1627,2023-01-10
10,2,3771,2021-07-20
11,2,1250,2023-05-22
12,2,3425,2021-06-17
13,2,805,2021-05-08
14,2,3530,2021-09-24
15,2,3951,2022-03-16
16,2,3704,2021-06-09
17,2,3075,2023-12-14
18,2,3349,2024-02-19
19,2,4301,2023-03-20
20,2,2210,2024-04-11
21,2,4136,2023-05-18
22,2,3655,2023-09-30
23,2,3465,2021-11-30
24,2,1232,2023-11-02
25,2,1091,2023-09-20
26,2,3799,2021-09-22
27,2,4254,2023-12-20
28,2,1017,2022-03-12
29,2,3780,2023-08-28
30,2,317,2021-11-18
31,2,4629,2023-01-27
32,2,1022,2023-04-17
33,2,953,2021-09-05
34,2,3077,2024-03-16
35,2,2422,2021-03-24
36,2,4332,2021-11-10
37,2,1014,2023-01-31
38,2,2547,2023-02-06
39,2,2534,2022-08-26
40,2,4030,2021-02-27
41,2,1220,2021-10-19
42,2,4880,2023-05-14
43,2,448,2022-09-17
44,2,2372,2022-03-18
45,2,1549,2023-09-29
46,2,67,2021-09-08
47,2,4535,2022-12-16
48,2,603,2021-04-02
49,2,3470,2023-09-13
50,2,4744,2022-09-27
51,3,3140,2023-09-01
52,3,1137,2021-10-11
53,4,3735,2023-07-09
54,4,1270,2022-10-29
55,5,3222,2022-04-22
56,5,3289,2022-11-26
57,6,2322,2021-07-01
58,6,1406,2021-02-20
59,7,4646,2021-09-11
60,7,4632,2021-06-24
61,8,4721,2023-12-05
62,9,4167,2021-02-08
63,9,1035,2023-12-26
64,10,2302,2022-02-26
65,11,743,2023-12-29
66,11,2674,2023-04-03
67,12,240,2022-11-28
68,12,3630,2022-01-05
69,13,3179,2022-06-11
70,13,795,2021-08-23
71,14,1427,2022-08-08
72,14,1229,2022-01-10
73,14,2143,2021-07-03
74,14,1313,2022-09-21
75,14,3386,2021-12-13
76,14,532,2022-10-29
77,14,1536,2021-02-25
78,14,529,2022-09-03
79,14,3244,2021-07-22
80,14,2671,2021-10-19
81,14,3431,2022-10-26
82,14,2162,2023-02-09
83,14,1040,2021-04-17
84,14,1709,2022-05-06
85,14,4940,2024-04-15
86,14,1987,2023-10-07
87,14,4216,2023-10-31
88,14,3204,2021-08-24
89,14,2256,2021-05-05
90,14,2657,2023-08-10
91,14,4581,2023-04-14
92,14,586,2023-09-19
93,14,286,2023-04-15
94,14,1964,2021-02-08
95,14,2254,2024-02-09
96,14,4851,2021-07-27
97,14,2067,2024-02-11
98,14,1078,2022-09-16
99,14,4705,2023-04-14
100,14,3703,2021-06-21
101,14,4149,2022-02-21
102,14,1216,2023-02-04
103,14,4477,2021-12-11
104,14,2058,2024-01-06
105,14,3521,2024-02-11
106,14,3750,2021-03-27
107,14,58,2023-08-10
108,14,2419,2021-12-09
109,14,54,2021-05-04
110,14,4000,2022-07-14
111,14,4947,2022-05-29
112,14,3164,2022-12-21
113,14,1792,2024-04-13
114,14,4230,2022-07-31
115,14,422,2021-11-27
116,14,4425,2024-02-28
117,14,622,2022-09-08
118,14,784,2023-03-21
119,14,1057,2021-10-14
120,15,3588,2022-03-08
121,15,4185,2022-10-14
122,15,2856,2022-06-20
123,15,3758,2022-07-14
124,15,2064,2022-10-21
